NetworkName,T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi,NetworksThisUnrollingWasFoundIn
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__alistipes_shahii,,g__methionyl aminopeptidase,m__hmdb00764,s__alistipes_shahii,1,0.91,1,1,0.91,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__faecalibacterium_prausnitzii,,g__phosphopyruvate hydratase,m__hmdb00014,s__escherichia_coli,0.98,1,1,0.91,0.8918,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_fragilis,,g__superoxide dismutase,m__hmdb00296,s__bacteroides_xylanisolvens,0.95,1,0.93,1,0.8835,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__faecalibacterium_prausnitzii,,g__phosphopyruvate hydratase,m__hmdb00043,s__eubacterium_ventriosum,1,0.88,1,1,0.88,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_stercoris,,g__uridine kinase,m__hmdb00056,s__bacteroides_caccae,1,0.9,1,0.91,0.819,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_fragilis,,g__superoxide dismutase,m__hmdb00296,s__bacteroides_xylanisolvens,0.98,0.86,0.97,1,0.817516,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_faecis,,g__phosphopyruvate hydratase,m__hmdb02322,s__bacteroides_faecis,0.95,0.82,1,1,0.779,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__streptococcus_parasanguinis,,g__triose-phosphate isomerase,m__hmdb00764,s__klebsiella_pneumoniae,1,0.77,1,1,0.77,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__klebsiella_pneumoniae,,g__triose-phosphate isomerase,m__hmdb00764,s__klebsiella_pneumoniae,1,0.77,1,1,0.77,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__faecalibacterium_prausnitzii,,g__superoxide dismutase,m__hmdb00619,s__escherichia_coli,1,0.77,1,0.99,0.7623,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__faecalibacterium_prausnitzii,,g__superoxide dismutase,m__hmdb00619,s__escherichia_coli,1,0.77,1,0.92,0.7084,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__streptococcus_parasanguinis,,g__triose-phosphate isomerase,m__hmdb00764,s__klebsiella_pneumoniae,1,0.73,0.96,1,0.7008,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__klebsiella_pneumoniae,,g__triose-phosphate isomerase,m__hmdb00764,s__klebsiella_pneumoniae,1,0.73,0.96,1,0.7008,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb01149,s__bacteroides_fragilis,0.98,0.84,0.85,1,0.69972,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__bacteroides_stercoris,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.88,1,0.76,0.6688,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__roseburia_intestinalis,,g__aldose 1-epimerase,m__hmdb00209,s__alistipes_shahii,0.97,0.85,0.82,0.95,0.6422855,FALSE,TRUE,FALSE,FALSE,1
PyCausal_filtered_ibd_t_g_m_alignment_sr7d_a0.01_nboots5_testPositiveCorr,s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00030,s__clostridium_clostridioforme,0.8,0.8,1,1,0.64,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__haemophilus_parainfluenzae,,g__phosphatidate cytidylyltransferase,m__hmdb00289,s__bacteroides_uniformis,1,0.98,1,0.65,0.637,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__klebsiella_pneumoniae,,g__transaldolase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.63,1,1,0.63,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_caccae,,g__transaldolase,m__hmdb00043,s__bacteroides_cellulosilyticus,1,0.66,0.93,1,0.6138,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__haemophilus_parainfluenzae,,g__acetyl-coa c-acetyltransferase,m__hmdb00619,s__escherichia_coli,0.67,0.91,1,1,0.6097,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_finegoldii,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb01257,s__eubacterium_ventriosum,0.86,1,0.99,0.71,0.604494,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__haemophilus_parainfluenzae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00195,s__escherichia_coli,0.6,1,1,1,0.6,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_xylanisolvens,,g__ribulose-phosphate 3-epimerase,m__hmdb00195,s__bacteroides_uniformis,0.96,0.6,1,0.99,0.57024,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__klebsiella_pneumoniae,,g__aspartate ammonia-lyase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.55,1,1,0.55,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__eubacterium_rectale,,g__histidine kinase,m__hmdb00043,s__eubacterium_ventriosum,1,0.54,1,1,0.54,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_xylanisolvens,,g__beta-lactamase,m__hmdb00619,s__ruminococcus_torques,0.87,0.78,0.79,1,0.536094,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__odoribacter_splanchnicus,,g__glutamate dehydrogenase,m__hmdb01257,s__odoribacter_splanchnicus,1,0.53,1,1,0.53,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_thetaiotaomicron,,g__fructose-bisphosphate aldolase,m__hmdb01149,s__haemophilus_parainfluenzae,0.62,0.84,1,1,0.5208,FALSE,TRUE,FALSE,FALSE,10
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__klebsiella_pneumoniae,,g__transaldolase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.52,1,1,0.52,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__klebsiella_pneumoniae,,g__phosphopyruvate hydratase,m__hmdb00014,s__klebsiella_pneumoniae,0.97,1,0.52,1,0.5044,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__eubacterium_rectale,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,0.74,1,0.67,1,0.4958,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__alistipes_shahii,,g__histidine kinase,m__hmdb00195,s__odoribacter_splanchnicus,0.73,0.67,1,1,0.4891,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00619,s__akkermansia_muciniphila,1,0.46,1,0.96,0.4416,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__bacteroides_stercoris,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_stercoris,0.98,0.45,1,1,0.441,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__escherichia_coli,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00014,s__escherichia_coli,0.44,1,1,1,0.44,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00209,s__alistipes_shahii,0.92,0.57,0.82,1,0.430008,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__bacteroides_stercoris,,g__uridine kinase,m__hmdb00089,s__bacteroides_stercoris,1,0.93,0.46,1,0.4278,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__eubacterium_ventriosum,,g__phosphopyruvate hydratase,m__hmdb00014,s__bacteroides_uniformis,1,1,0.5,0.85,0.425,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_caccae,,g__transaldolase,m__hmdb00043,s__bacteroides_cellulosilyticus,1,0.47,0.92,0.98,0.423752,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_caccae,,g__transaldolase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.52,0.81,0.4212,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bifidobacterium_longum,,g__histidine kinase,m__hmdb00764,s__bacteroides_faecis,0.76,0.69,1,0.78,0.409032,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__eubacterium_rectale,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00619,s__bacteroides_fragilis,1,0.46,1,0.88,0.4048,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_fragilis,,g__superoxide dismutase,m__hmdb00619,s__bifidobacterium_longum,0.98,0.71,0.99,0.57,0.39263994,FALSE,TRUE,FALSE,FALSE,10
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_thetaiotaomicron,,g__aldose 1-epimerase,m__hmdb00097,s__odoribacter_splanchnicus,0.75,0.62,0.98,0.85,0.387345,FALSE,TRUE,FALSE,FALSE,8
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__clostridium_clostridioforme,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_stercoris,0.91,0.42,1,1,0.3822,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_uniformis,,g__histidine kinase,m__hmdb00764,s__eubacterium_siraeum,0.61,0.63,1,0.99,0.380457,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_uniformis,,g__superoxide dismutase,m__hmdb00043,s__eubacterium_ventriosum,1,0.38,1,1,0.38,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__bacteroides_caccae,,g__glutamate decarboxylase,m__hmdb00764,s__ruminococcus_torques,0.39,1,0.92,1,0.3588,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__alistipes_shahii,,g__histidine kinase,m__hmdb00195,s__odoribacter_splanchnicus,0.72,0.62,0.93,0.86,0.35703072,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__alistipes_shahii,,g__methionyl aminopeptidase,m__hmdb00239,s__bacteroides_ovatus,1,0.35,1,1,0.35,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__klebsiella_pneumoniae,,g__aspartate ammonia-lyase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.35,1,1,0.35,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__haemophilus_parainfluenzae,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00289,s__haemophilus_parainfluenzae,0.6,0.59,0.97,1,0.34338,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__odoribacter_splanchnicus,,g__glutamate dehydrogenase,m__hmdb00097,s__odoribacter_splanchnicus,1,0.34,0.98,1,0.3332,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb01149,s__bacteroides_fragilis,0.74,0.63,0.69,1,0.321678,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__haemophilus_parainfluenzae,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__haemophilus_parainfluenzae,0.41,0.78,1,1,0.3198,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_caccae,,g__transaldolase,m__hmdb00251,s__bacteroides_faecis,1,0.44,0.99,0.71,0.309276,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_caccae,,g__transaldolase,m__hmdb00195,s__odoribacter_splanchnicus,1,0.33,0.93,1,0.3069,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bifidobacterium_longum,,g__histidine kinase,m__hmdb00764,s__bacteroides_faecis,0.69,0.63,1,0.7,0.30429,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__bacteroides_fragilis,,g__aldose 1-epimerase,m__hmdb00296,s__bacteroides_fragilis,1,0.96,0.31,1,0.2976,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb00097,s__bacteroides_faecis,1,0.34,0.98,0.89,0.296548,FALSE,TRUE,FALSE,FALSE,12
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__bacteroides_fragilis,,g__aldose 1-epimerase,m__hmdb00209,s__roseburia_intestinalis,1,0.31,0.93,1,0.2883,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00209,s__alistipes_shahii,0.66,0.69,0.62,1,0.282348,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__roseburia_inulinivorans,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00289,s__bacteroides_finegoldii,1,0.93,0.3,1,0.279,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__bacteroides_caccae,,g__phosphoglycerate kinase,m__hmdb00764,s__ruminococcus_torques,0.32,1,0.87,1,0.2784,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_uniformis,,g__superoxide dismutase,m__hmdb00043,s__eubacterium_ventriosum,0.98,0.36,1,0.74,0.261072,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_finegoldii,,g__phosphoglycerate kinase,m__hmdb00764,s__bacteroides_cellulosilyticus,0.3,0.83,1,1,0.249,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__streptococcus_parasanguinis,,g__phosphoglycerate kinase,m__hmdb00239,s__streptococcus_parasanguinis,0.95,0.26,1,1,0.247,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_uniformis,,g__peptidylprolyl isomerase,m__hmdb00239,s__bacteroides_caccae,1,0.3,0.82,1,0.246,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__eubacterium_rectale,,g__aspartate ammonia-lyase,m__hmdb00289,s__haemophilus_parainfluenzae,0.69,0.36,0.97,1,0.240948,FALSE,TRUE,FALSE,FALSE,6
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__alistipes_shahii,,g__histidine kinase,m__hmdb00020,s__bacteroides_stercoris,0.73,0.38,0.88,0.98,0.23922976,FALSE,TRUE,FALSE,FALSE,12
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb00097,s__bacteroides_faecis,1,0.32,0.97,0.76,0.235904,FALSE,TRUE,FALSE,FALSE,12
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_stercoris,,g__superoxide dismutase,m__hmdb00043,s__clostridium_clostridioforme,0.58,0.38,0.94,1,0.207176,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__odoribacter_splanchnicus,,g__glutamate dehydrogenase,m__hmdb00097,s__odoribacter_splanchnicus,1,0.32,0.64,1,0.2048,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__bacteroides_finegoldii,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb01257,s__eubacterium_ventriosum,0.87,0.47,0.61,0.82,0.20453178,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__clostridium_bolteae,,g__phosphatidate cytidylyltransferase,m__hmdb00289,s__bacteroides_caccae,1,0.24,0.83,1,0.1992,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_uniformis,,g__superoxide dismutase,m__hmdb00043,s__eubacterium_ventriosum,0.94,0.24,1,0.87,0.196272,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__eubacterium_rectale,,g__phosphoglycerate kinase,m__hmdb00043,s__bacteroides_ovatus,0.45,0.5,1,0.87,0.19575,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_thetaiotaomicron,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00014,s__escherichia_coli,0.24,1,1,0.81,0.1944,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__clostridium_bolteae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb02322,s__akkermansia_muciniphila,0.6,0.33,1,0.98,0.19404,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bacteroides_faecis,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__bacteroides_stercoris,0.3,0.78,0.85,0.96,0.190944,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__clostridium_bolteae,,g__phosphatidate cytidylyltransferase,m__hmdb00764,s__alistipes_shahii,1,0.19,1,0.98,0.1862,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb00619,s__alistipes_shahii,1,0.48,0.44,0.88,0.185856,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__alistipes_shahii,,g__histidine kinase,m__hmdb00020,s__bacteroides_stercoris,0.72,0.34,0.82,0.89,0.17865504,FALSE,TRUE,FALSE,FALSE,12
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__ruminococcus_torques,,g__phosphoglycerate kinase,m__hmdb00764,s__ruminococcus_torques,0.2,1,0.87,1,0.174,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__bacteroides_caccae,,g__phosphoglycerate kinase,m__hmdb00764,s__ruminococcus_torques,0.27,1,0.63,1,0.1701,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_stercoris,,g__dephospho-coa kinase,m__hmdb00289,s__bacteroides_caccae,1,0.17,1,1,0.17,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__clostridium_bolteae,,g__phosphatidate cytidylyltransferase,m__hmdb00764,s__alistipes_shahii,1,0.18,1,0.94,0.1692,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__faecalibacterium_prausnitzii,,g__dna-directed rna polymerase,m__hmdb00097,s__bacteroides_fragilis,1,0.89,0.19,1,0.1691,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__bifidobacterium_longum,,g__acetyl-coa c-acetyltransferase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.97,0.85,0.2,1,0.1649,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__ruminococcus_torques,,g__histidine kinase,m__hmdb00097,s__bacteroides_cellulosilyticus,0.42,0.57,0.98,0.7,0.1642284,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__bacteroides_uniformis,,g__transaldolase,m__hmdb00289,s__bacteroides_caccae,0.56,0.35,0.83,1,0.16268,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__bacteroides_xylanisolvens,,g__ribulose-phosphate 3-epimerase,m__hmdb00195,s__bacteroides_uniformis,0.8,0.62,0.34,0.96,0.1618944,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__bacteroides_xylanisolvens,,g__beta-lactamase,m__hmdb00619,s__ruminococcus_torques,0.86,0.55,0.34,1,0.16082,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__klebsiella_pneumoniae,,g__l-serine ammonia-lyase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.16,1,1,0.16,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_uniformis,,g__superoxide dismutase,m__hmdb00209,s__eubacterium_siraeum,1,0.21,0.76,1,0.1596,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__roseburia_intestinalis,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__roseburia_intestinalis,0.99,1,0.16,1,0.1584,FALSE,TRUE,FALSE,FALSE,17
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__bacteroides_faecis,,g__aldose 1-epimerase,m__hmdb00209,s__alistipes_shahii,0.22,0.85,0.82,1,0.15334,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_uniformis,,g__phosphatidate cytidylyltransferase,m__hmdb00289,s__bacteroides_caccae,0.39,0.39,1,1,0.1521,FALSE,TRUE,FALSE,FALSE,1
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_thetaiotaomicron,,g__fructose-bisphosphate aldolase,m__hmdb01149,s__haemophilus_parainfluenzae,0.24,0.63,1,1,0.1512,FALSE,TRUE,FALSE,FALSE,10
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__clostridium_bolteae,,g__glutamate decarboxylase,m__hmdb00764,s__akkermansia_muciniphila,0.18,0.93,1,0.9,0.15066,FALSE,TRUE,FALSE,FALSE,5
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__bacteroides_stercoris,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.27,1,0.55,0.1485,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__faecalibacterium_prausnitzii,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,0.26,1,0.67,0.85,0.14807,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__bacteroides_stercoris,,g__dephospho-coa kinase,m__hmdb00289,s__bacteroides_caccae,1,0.15,0.98,0.99,0.14553,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__faecalibacterium_prausnitzii,,g__dna-directed rna polymerase,m__hmdb00097,s__bacteroides_fragilis,1,0.85,0.17,1,0.1445,FALSE,TRUE,FALSE,FALSE,3
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5,s__roseburia_intestinalis,,g__dna helicase,m__hmdb00195,s__bacteroides_uniformis,0.41,0.34,1,1,0.1394,FALSE,TRUE,FALSE,FALSE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4,s__bifidobacterium_longum,,g__histidine kinase,m__hmdb00020,s__haemophilus_parainfluenzae,0.54,0.3,1,0.85,0.1377,FALSE,TRUE,FALSE,FALSE,4
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__eubacterium_ventriosum,,g__phosphatidate cytidylyltransferase,m__hmdb00289,s__bacteroides_finegoldii,0.99,0.94,0.3,0.49,0.1367982,FALSE,TRUE,FALSE,FALSE,1
